?G(OOH),?G(OOH-Ni),?G(OOH-Co),?G(OOH-Fe),?G(OOH-Pd),?G(OOH-Pt)
-0.02712,3.85147,3.54979,3.41178,3.62139,3.86704
-0.39266,3.68336,0.52876,3.41174,3.86704,4.16036
0.66367,3.79005,3.70338,3.64548,3.41178,4.1578
0.77249,3.79416,3.80465,3.8229,3.41174,3.81662
-0.0668,3.81662,-0.02712,3.5514,3.64548,3.8229
-0.06961,3.6333,-0.03963,3.64676,4.25894,3.775
0.01714,3.81057,0.5696,2.03146,3.66346,4.01421
3.62139,3.9287,-0.02739,3.5618,3.85147,4.06891
-0.14948,3.775,-0.36231,3.15641,3.68336,4.0162
0.01978,3.89903,-0.07884,3.51616,4.16036,3.99788
-0.03963,3.90398,0.01001,0.52876,3.79005,4.19342
0.48626,3.6763,-0.37562,3.54704,4.1578,3.89903
0.04441,3.66892,0.20865,3.74573,3.79416,3.90398
-0.44809,3.78212,0.09704,3.74811,3.6333,3.6763
0.12737,3.38488,0.55075,3.74514,3.81057,4.11059
0.5696,3.15641,0.09518,3.74779,3.9287,3.96659
-0.02739,3.91994,0.42264,-0.02712,3.68818,4.25123
1.05725,3.66267,0.85997,-0.39266,4.01421,4.13267
-0.0722,3.48911,0.42244,0.66367,3.6144,3.5618
-0.36231,4.08401,0.59551,0.77249,3.5514,3.74929
-0.17395,3.78243,0.62092,-0.0668,4.0162,3.97648
-0.07884,3.78182,0.8094,-0.06961,3.71567,3.82092
0.88773,3.71464,0.99696,0.01714,4.50066,3.82117
0.45248,0.66367,0.55658,-0.14948,3.99788,4.08401
0.01001,0.45248,0.67293,0.01978,3.71389,3.70338
0.52062,0.18061,0.5864,-0.03963,4.19342,3.96824
0.04312,0.7642,3.33676,0.48626,3.72779,3.73216
-0.37562,0.88484,0.42305,0.04441,4.02346,3.87323
-0.17348,0.68003,0.55273,-0.44809,3.92374,3.73502
4.05863,0.17772,0.58983,0.12737,3.64676,3.74573
-0.17436,0.90854,0.61556,0.5696,3.92557,3.74811
