?G(OOH),?G(OOH-Ru),?G(OOH-Rh),?G(OOH-Pd),?G(OOH-Ir),?G(OOH-Pt)
0.79591,1.12548,1.55459,1.55459,1.12548,3.82089
1.02893,1.70856,1.55683,4.15757,1.70856,2.59011
0.67327,1.90138,3.83773,1.55683,1.53566,1.90138
2.22584,0.87351,3.82089,3.83773,1.32134,2.67542
0.70148,1.62887,2.59011,4.16905,1.31191,2.08355
3.33293,1.06505,2.67542,3.49693,1.29688,0.87351
1.03268,1.20655,2.08355,3.92543,1.3033,1.76145
1.12962,0.64988,1.62887,3.95507,1.30117,1.06505
1.31525,0.5022,1.76145,4.29025,1.41567,1.20655
3.50759,1.64325,1.53566,3.94332,1.10693,1.64325
0.24279,0.88812,1.32134,1.12912,1.30908,1.57058
4.05756,0.53163,1.31191,2.09234,1.08165,1.37852
3.72509,1.57058,1.29688,3.52057,0.73186,2.21633
4.1359,1.41567,1.53265,0.79591,1.12962,1.47088
1.41577,1.37852,1.53557,0.67327,0.24279,1.54947
1.12394,0.75344,0.5022,1.12962,1.12394,2.19071
0.62099,1.40381,0.53163,1.41577,0.24618,2.33963
0.57642,0.42196,3.94332,1.12394,1.21813,2.3685
0.47964,0.73186,1.12912,0.62099,0.61716,2.33703
0.24618,0.79591,0.75344,0.57642,1.42541,2.28086
0.6285,0.67327,1.10693,0.6285,1.04347,2.67703
0.34196,0.70148,3.63891,1.75509,1.12422,2.59449
1.12548,1.03268,2.09234,0.6532,1.03422,2.40699
1.55459,0.24279,1.40381,1.42541,1.42457,2.00769
1.03008,1.41577,1.30908,1.04347,0.97447,2.87868
0.57555,0.62099,0.42196,1.12422,1.36897,2.50616
1.21813,0.57642,1.08165,1.42457,1.45235,2.0041
1.75509,0.47964,0.79591,1.4985,1.26563,2.01832
0.44692,0.24618,0.70148,1.15431,0.94612,2.28398
0.61716,0.6285,1.03268,0.71272,1.42304,2.46131
4.15757,0.34196,1.12962,2.21633,0.61505,1.86585
1.20992,1.03008,1.41577,0.97447,0.91681,2.97573
0.6532,0.57555,1.12394,1.36897,0.65189,2.4046
1.42541,1.21813,0.62099,1.45235,1.24788,2.48056
1.04347,0.44692,0.57642,0.70797,0.60831,1.95849
0.34459,0.61716,0.47964,0.94612,1.22088,2.44485
1.12422,0.6532,0.34196,0.71286,1.13003,2.35638
1.03422,0.34459,1.03008,1.42304,1.54947,2.60927
1.42457,1.03422,0.57555,1.16027,1.38709,1.21719
1.4985,1.15431,1.75509,1.24788,2.3685,1.52572
1.15431,0.71272,0.44692,0.63121,2.28086,1.96375
0.71272,0.97447,0.6532,1.15201,2.50616,2.12238
2.21633,0.20154,1.04347,1.13003,2.28398,1.91496
1.55683,1.26563,0.34459,1.37811,2.4046,1.31434
0.97447,0.70797,1.12422,0.56176,2.48056,1.69605
1.70856,0.71286,1.4985,2.19071,2.35638,2.19811
1.47088,0.5911,2.21633,0.99774,0.99774,1.38754
1.36897,0.61505,1.47088,0.82487,1.4271,1.94415
3.83773,1.04457,1.36897,1.78705,1.00054,0.88023
1.45235,0.34404,0.20154,1.4271,1.18093,1.30014
0.20154,0.311,0.94612,1.96375,1.45494,0.89476
1.26563,0.36298,0.5911,1.69605,1.8845,1.37095
0.70797,0.65189,1.04457,1.00054,1.40682,1.21312
0.94612,1.16027,0.34404,2.19811,1.42569,1.53035
0.71286,1.04917,0.311,0.79433,1.93881,0.89802
0.5911,0.63121,0.36298,1.18093,1.55964,1.20244
1.42304,0.60831,1.24788,1.45494,0.80997,1.65034
0.61505,1.22088,1.04917,1.8845,1.37095,1.53348
1.04457,1.15201,1.13003,1.40682,1.07723,1.55347
4.16905,1.37811,0.47114,1.78389,1.53808,1.25247
0.34404,1.54947,0.56176,1.42569,1.21312,2.03908
3.49693,1.38709,2.19071,1.93881,1.01718,1.56788
0.311,0.47114,2.33963,2.16927,1.02385,1.79663
0.36298,0.56176,2.3685,1.55964,1.20244,1.71715
0.91681,2.00769,2.33703,0.80997,1.51913,1.55498
3.35659,2.0041,2.28086,0.88023,0.64255,2.44463
0.65189,2.01832,2.67703,2.09794,0.98067,1.77957
1.16027,0.82487,2.59449,1.03206,1.55347,2.43902
1.24788,1.52572,2.40699,1.65034,1.25247,1.67026
3.3441,1.91496,2.00769,1.55347,2.03908,1.73841
4.08501,1.31434,2.87868,2.03908,1.56788,1.56355
1.04917,0.79433,2.50616,1.56788,0.9915,1.65698
3.82089,1.18093,2.0041,2.44463,1.02806,0.94525
0.63121,1.38754,2.01832,1.92383,0.84413,0.88377
0.60831,0.80997,2.28398,1.84314,0.56648,1.62799
1.22088,0.88023,2.46131,1.52275,1.79663,1.18882
1.15201,0.72423,1.86585,2.1064,1.1783,0.92576
1.13003,1.03206,2.48056,0.93791,1.71715,1.6579
1.37811,0.84772,1.95849,0.97499,0.48625,0.94722
1.54947,0.89476,2.44485,0.35656,1.27634,1.71341
1.38709,1.37095,2.35638,0.46741,0.80996,1.01739
