,OOH,,O,,OH,
formula,ave,std,ave,std,ave,std
Ru.10000000000000000000Rh.10000000000000000000Ir.10000000000000000000Pd0.1Pt.6,4.033178468,0.619103498,1.750294883,0.652768515,0.868012138,0.580421096
Ru.10000000000000000000Rh.10000000000000000000Ir.10000000000000000000Pd0.2Pt.5,3.963952959,0.529326863,1.683891845,0.583404388,0.856394724,0.52610853
Ru.10000000000000000000Rh.10000000000000000000Ir.10000000000000000000Pd0.3Pt.4,3.927358554,0.56322181,1.616508594,0.569082648,0.856064173,0.547628834
Ru.10000000000000000000Rh.10000000000000000000Ir.10000000000000000000Pd0.4Pt.3,4.184277062,0.400152835,1.874187196,0.48080702,1.124010899,0.401459236
Ru.10000000000000000000Rh.10000000000000000000Ir.10000000000000000000Pd0.5Pt.2,4.367119906,0.453302843,2.083708616,0.533931787,1.209331788,0.419593012
Ru.10000000000000000000Rh.10000000000000000000Ir.10000000000000000000Pd0.6Pt.1,4.430443818,0.426479634,2.133057112,0.517606073,1.20156189,0.394955077
Ru.10000000000000000000Rh.10000000000000000000Ir.10000000000000000000Pd0.7Pt0,4.358739499,0.410017226,2.205410544,0.466906353,1.176037378,0.369734554
Ru.13333333333333333333Rh.13333333333333333333Ir.13333333333333333333Pd0.1Pt.5,3.795788081,0.584002306,1.377299354,0.620458608,0.588984768,0.520456276
Ru.13333333333333333333Rh.13333333333333333333Ir.13333333333333333333Pd0.2Pt.4,3.621625774,0.583312106,1.188487013,0.643418295,0.428933348,0.572046679
Ru.13333333333333333333Rh.13333333333333333333Ir.13333333333333333333Pd0.3Pt.3,3.628494773,0.526345036,1.255678886,0.607263724,0.49016151,0.526630982
Ru.13333333333333333333Rh.13333333333333333333Ir.13333333333333333333Pd0.4Pt.2,4.021753446,0.468940155,1.677552394,0.56032084,0.88441464,0.441520554
Ru.13333333333333333333Rh.13333333333333333333Ir.13333333333333333333Pd0.5Pt.1,4.279856237,0.509190446,1.877452213,0.61739786,1.044754136,0.46170938
Ru.13333333333333333333Rh.13333333333333333333Ir.13333333333333333333Pd0.6Pt0,4.443898084,0.4855844,2.07071947,0.595727082,1.189721457,0.438606535
Ru.16666666666666666666Rh.16666666666666666666Ir.16666666666666666666Pd0.1Pt.4,3.73626857,0.68324948,1.176652062,0.70490014,0.473663775,0.642538251
Ru.16666666666666666666Rh.16666666666666666666Ir.16666666666666666666Pd0.2Pt.3,3.352430704,0.611718999,0.842453784,0.680713722,0.094576124,0.585573699
Ru.16666666666666666666Rh.16666666666666666666Ir.16666666666666666666Pd0.3Pt.2,3.584472275,0.557307848,1.113411482,0.659791764,0.371390805,0.540190933
Ru.16666666666666666666Rh.16666666666666666666Ir.16666666666666666666Pd0.4Pt.1,4.014988644,0.553449094,1.517392033,0.687746128,0.767217634,0.520857333
Ru.16666666666666666666Rh.16666666666666666666Ir.16666666666666666666Pd0.5Pt0,4.291225912,0.52839211,1.798641699,0.708366245,1.008380819,0.485253383
Ru.20000000000000000000Rh.20000000000000000000Ir.20000000000000000000Pd0.1Pt.3,3.460840806,0.648127497,0.900998906,0.652309863,0.218675949,0.588684413
Ru.20000000000000000000Rh.20000000000000000000Ir.20000000000000000000Pd0.2Pt.2,3.392615349,0.617403234,0.859470462,0.67271137,0.155831577,0.553824203
Ru.20000000000000000000Rh.20000000000000000000Ir.20000000000000000000Pd0.3Pt.1,3.654316574,0.611291038,1.060438554,0.706631653,0.412847427,0.535977664
Ru.20000000000000000000Rh.20000000000000000000Ir.20000000000000000000Pd0.4Pt0,3.918145525,0.630823624,1.341107246,0.783593275,0.687082079,0.548149141
Ru.23333333333333333333Rh.23333333333333333333Ir.23333333333333333333Pd0.1Pt.2,3.651882266,0.658666131,1.01440125,0.683107704,0.428966193,0.588296116
Ru.23333333333333333333Rh.23333333333333333333Ir.23333333333333333333Pd0.2Pt.1,3.322358327,0.594696078,0.767302052,0.654003376,0.125308603,0.502675262
Ru.23333333333333333333Rh.23333333333333333333Ir.23333333333333333333Pd0.3Pt0,3.518666086,0.685015571,0.911034156,0.760593707,0.364708989,0.577790863
Ru.26666666666666666666Rh.26666666666666666666Ir.26666666666666666666Pd0.1Pt.1,3.433425275,0.559595267,0.780795881,0.601450953,0.225637971,0.453157775
Ru.26666666666666666666Rh.26666666666666666666Ir.26666666666666666666Pd0.2Pt0,3.097000777,0.537792614,0.511778924,0.608176444,-0.049795712,0.468842574
Ru.30000000000000000000Rh.30000000000000000000Ir.30000000000000000000Pd0.1Pt0,3.386309439,0.495835365,0.685679788,0.529272665,0.103076459,0.423359339
