# Radial distribution function (50 data points):
# "Pair separation distance" g(r)
0.03 0.0 
0.09 0.0 
0.15 0.0 
0.21 0.0 
0.27 0.0 
0.33 0.0 
0.39 0.0 
0.45 0.0 
0.51 0.0301016069 
0.57 0.1446210045 
0.63 0.0197342861 
0.69 0.0493605696 
0.75 0.0696380459 
0.81 0.0477663525 
0.87 0.0414075988 
0.93 0.0362388278 
0.99 0.1039371275 
1.05 0.2914189303 
1.11 0.4197811242 
1.17 0.349215575 
1.23 0.3263434325 
1.29 0.2637308778 
1.35 0.2021107894 
1.41 0.1419153611 
1.47 0.0906725251 
1.53 0.0970934969 
1.59 0.1860099299 
1.65 0.2619728657 
1.71 0.702255544 
1.77 1.8788083408 
1.83 2.2303985727 
1.89 1.8343274161 
1.95 1.6366193348 
2.01 1.4336750797 
2.07 1.3609196967 
2.13 1.2283223035 
2.19 1.091670887 
2.25 0.8902412907 
2.31 0.8416604246 
2.37 0.7786548126 
2.43 0.8866914317 
2.49 0.9190631718 
2.55 1.0004798718 
2.61 1.1022904104 
2.67 1.1159786965 
2.73 1.1452907809 
2.79 1.1459027943 
2.85 1.1531685926 
2.91 1.1449828891 
2.97 1.0689776347 
