?G(O),?G(O-Ru),?G(O-Rh),?G(O-Pd),?G(O-Ir),?G(O-Pt)
0.2982,1.02887,0.77129,1.02887,0.86484,1.22509
0.62739,0.86484,1.77517,1.86863,1.40828,1.77517
1.02887,1.22509,0.2696,1.86969,1.21821,0.85383
0.65565,0.77129,1.46003,0.91885,0.92912,0.85597
0.82766,0.85383,0.26522,0.66019,1.60358,1.40828
1.10657,0.85597,0.27025,1.06818,1.63904,1.7668
0.60236,0.2696,0.26801,1.22822,0.86799,1.05632
0.47863,1.05632,0.26579,1.29406,0.58675,1.46003
0.01971,0.26522,0.26695,0.2982,1.0356,1.1072
0.93222,1.1072,0.2676,0.62739,0.58457,1.06272
1.19437,1.06272,0.26451,0.82766,1.03396,1.86863
0.20669,0.27025,1.54921,1.10657,0.54889,1.06155
0.30041,0.26801,1.03396,0.60236,0.54169,1.86969
0.20375,0.26579,0.1214,0.47863,0.80795,0.93214
0.02041,1.06155,0.80795,0.93222,0.90445,0.97942
0.59987,0.26695,0.90445,1.19437,0.7449,1.54921
0.42925,0.2676,0.7586,0.30041,0.70491,0.94307
0.26313,0.26451,0.55618,0.59987,1.06818,1.13783
0.47969,0.91885,0.80692,0.47969,1.22822,0.99754
1.19584,-0.05488,0.2982,1.19584,1.61809,0.99885
0.67548,0.93214,0.65565,0.67548,1.29406,1.60358
0.27535,0.97942,0.82766,0.47864,1.24817,1.63904
0.26368,0.92912,1.10657,1.1129,1.42358,1.01815
0.0195,0.94307,0.60236,0.6736,0.80692,1.61809
0.34125,1.13783,0.47863,1.10314,0.78624,1.08213
0.47864,0.99754,0.01971,1.10634,0.62739,1.42358
0.82614,0.99885,1.19437,0.60132,0.82766,1.1129
1.1129,0.58675,0.30041,1.19294,0.60236,1.10314
0.6736,1.0356,0.02041,1.76766,0.93222,1.76766
0.26807,0.58457,0.59987,0.82682,0.20669,0.929
1.10314,0.46748,0.26313,0.67409,0.20375,0.92754
1.10634,0.54889,0.47969,0.62923,0.59987,0.81274
0.60132,0.54169,1.19584,0.47839,0.42925,0.93669
1.19294,0.43433,0.27535,0.30002,0.82614,1.7699
1.76766,0.1214,0.26368,0.48018,0.60132,1.10435
0.26202,1.01815,0.0195,0.83162,0.20575,0.81461
0.929,0.7586,0.34125,1.27475,0.42791,0.92759
0.20575,0.7449,0.47864,1.43999,0.76149,1.77278
0.42791,0.70491,0.26807,0.47825,0.81274,1.38821
0.92754,0.66019,1.10634,0.29851,0.82682,1.75086
0.76149,1.08213,0.60132,0.60643,0.62923,1.59103
0.81274,1.24817,1.19294,1.7699,0.83162,1.62559
0.82682,0.55618,0.26202,1.10435,0.52018,1.31139
0.67409,0.78624,0.929,0.93201,0.20344,1.21565
0.86484,0.20644,0.92754,1.10511,0.85569,1.87068
0.62923,0.2982,0.82682,1.19246,0.76162,1.92778
0.47839,0.62739,0.47839,0.82565,0.42671,1.77138
0.30002,0.65565,0.30002,0.60035,0.60643,1.38724
0.48018,0.47863,0.48018,0.67492,0.93201,1.22538
0.83162,0.01971,0.83162,0.37622,0.82565,1.90074
1.27475,0.20669,1.27475,0.62865,0.82416,1.27524
1.43999,0.30041,1.43999,0.29997,0.60035,0.94756
0.47825,0.20375,0.47825,1.27804,0.81461,1.65074
0.52018,0.02041,0.26769,0.30073,0.62865,2.39543
0.20344,0.42925,0.29851,0.6303,0.6303,1.67446
0.26769,0.26313,0.26178,0.67821,0.82983,0.94836
0.85569,0.47969,0.01836,0.47867,0.43358,1.56719
0.29851,0.67548,0.93669,0.82983,0.60449,2.35523
0.26178,0.27535,0.65198,1.28592,1.62559,1.53472
0.01836,0.26368,0.60643,1.77278,1.21565,1.91516
0.76162,0.0195,0.26421,1.19543,1.27524,1.90343
0.93669,0.34125,0.33444,0.60449,1.65074,1.57208
0.65198,0.47864,1.10511,1.22538,1.53472,1.81471
0.42671,0.82614,1.19246,1.67446,1.20987,1.57595
0.60643,1.1129,0.82565,1.57208,1.21453,1.74806
1.7699,0.6736,0.60035,1.57595,1.21033,1.20987
1.10435,0.26807,0.92759,1.67721,1.21004,1.21453
0.26421,1.10314,0.29997,1.46484,0.80623,1.62481
0.33444,0.26202,1.27804,0.80623,0.51303,1.67721
0.93201,0.20575,0.30073,0.57397,0.74685,0.956
1.10511,0.42791,0.02064,0.51303,1.29144,1.21033
1.19246,0.81274,0.26625,0.74685,0.77894,0.94846
0.82565,0.67409,0.47867,0.7238,0.81047,1.39783
0.82416,0.62923,0.82983,0.55483,0.75058,1.21004
0.60035,0.47839,0.26506,1.29144,1.24065,0.94725
0.67492,0.30002,1.28592,0.77894,0.77576,1.81342
0.81461,0.48018,1.19543,0.71948,0.50707,0.82584
0.37622,0.47825,0.60449,0.81047,0.77864,1.59262
0.62865,0.52018,1.38821,0.75058,0.75428,0.83217
0.92759,0.20344,1.75086,1.17707,0.7531,1.78089
0.29997,0.26769,1.59103,1.24065,0.77832,1.02761
1.27804,0.85569,1.31139,1.63257,0.75158,0.7238
0.9334,0.29851,1.21565,1.75974,0.81941,1.29144
0.30073,0.26178,1.87068,0.77576,0.79226,0.71948
0.6303,0.01836,1.92778,0.50707,0.78232,0.68639
0.02064,0.65198,1.77138,0.77864,0.78238,0.69067
0.67821,0.42671,1.27524,1.55165,0.82405,1.63257
0.26625,1.10435,0.94756,0.75428,1.0748,1.75974
0.47867,0.26421,1.67446,0.80512,0.84439,0.80512
0.82983,0.33444,0.94836,1.43513,0.53419,1.43513
0.26506,0.82416,1.56719,0.7531,0.32788,0.68998
1.28592,0.67492,1.53472,0.77832,1.46338,0.68528
0.43358,0.81461,1.91516,1.18118,1.10296,0.72001
1.77278,0.37622,1.90343,0.75158,0.32556,0.84439
1.19543,0.62865,1.57208,0.81941,0.8383,1.87848
0.60449,0.29997,1.57595,0.79226,0.33479,0.47045
1.38821,0.30073,1.74806,0.78232,1.4291,1.25025
1.75086,0.6303,1.20987,0.78238,1.08672,0.46898
1.59103,0.02064,1.21453,0.72001,0.83441,1.46338
1.62559,0.67821,1.62481,0.82405,0.91932,1.10296
1.31139,0.26625,1.67721,1.0748,1.44558,1.14846
1.22509,0.47867,0.956,1.87848,0.71476,2.18141
1.21565,0.26506,1.21033,0.5368,0.07041,0.8383
1.87068,0.43358,0.94846,1.14846,0.33363,0.71591
1.92778,1.38724,1.39783,2.18141,0.52447,1.0083
1.77138,1.22538,1.21004,1.4291,0.07488,1.4291
1.38724,0.94756,0.94725,1.44558,0.37801,1.08672
1.22538,0.94836,0.82584,0.53616,0.9201,0.83441
1.90074,0.956,1.46484,1.14031,0.88988,0.91932
1.27524,0.94846,0.80623,0.54256,0.6072,1.44558
0.98171,0.94725,1.59262,0.9201,0.27957,1.14031
0.94756,0.82584,0.83217,0.88988,1.07478,1.00036
1.65074,0.83217,0.57397,1.80779,0.99568,0.46938
2.39543,0.57397,1.78089,0.99568,1.22635,0.30852
1.67446,0.51303,0.74685,1.53611,0.99986,1.07478
0.94836,0.7238,1.02761,0.99986,0.37639,1.12537
1.56719,0.55483,0.55483,1.4753,0.38427,1.28318
2.35523,0.71948,0.77894,0.98742,0.27642,2.11212
1.53472,0.68639,0.68639,0.89585,0.75872,1.80779
1.91516,0.69067,0.81047,0.87751,0.27522,1.22635
1.90343,0.50707,0.75058,0.91787,0.91787,1.53611
1.57208,0.80512,0.69067,0.9981,0.9981,1.54698
1.81471,0.68998,1.17707,1.80965,1.1119,0.98742
1.57595,0.68528,1.63257,0.60372,0.93141,0.87751
1.74806,0.72001,1.75974,0.18865,0.7195,1.54814
1.20987,0.30921,0.77576,0.90622,0.7147,1.80965
1.21453,0.47045,0.77864,0.18609,1.08596,1.12441
1.62481,0.53419,1.55165,0.51046,0.71993,1.2783
2.74746,0.5368,0.75428,1.21725,0.42743,1.03169
1.58654,0.32788,1.43513,0.19009,0.71681,0.90622
2.10451,0.46898,0.7531,0.25159,1.06517,1.2678
