?G(OH),?G(OH-Ni),?G(OH-Co),?G(OH-Fe),?G(OH-Pd),?G(OH-Pt)
0.20876,0.29378,0.20876,0.20876,1.15988,1.15988
0.35957,0.01809,0.56511,0.56511,1.04894,1.04894
1.15988,0.17472,0.21508,0.21508,1.05664,1.32095
0.56511,0.36126,0.20844,0.20844,1.22998,1.22998
1.16481,0.19572,0.63652,0.63652,1.29216,1.23949
1.08128,0.17321,0.54654,0.54654,1.20796,1.20796
0.35225,0.02254,0.21587,0.21587,0.14003,1.09779
0.48479,0.0546,0.54764,0.54764,0.25921,0.27369
1.04894,0.10869,0.06318,0.14003,0.90928,0.90928
0.21508,0.63085,0.17472,-0.1846,0.21852,0.30865
1.05664,0.63127,0.19572,0.27369,0.16132,0.30246
0.48091,0.11452,0.24794,0.29378,0.16202,0.83935
0.50294,0.57496,0.17321,-0.21227,0.83935,0.98542
0.39294,0.58764,0.02813,0.25921,0.16147,0.98437
1.0905,0.78241,0.03375,-0.2068,0.24794,0.48423
1.20103,0.80512,-0.16247,-0.22582,0.44603,0.4298
1.15034,0.66199,-0.17275,-0.2005,0.98542,0.91212
0.49245,0.8981,0.46118,0.30865,0.24081,0.70508
0.36192,0.21991,-0.17089,-0.00846,0.2226,0.86056
0.74506,0.70009,0.39064,-0.26323,0.20658,0.63085
0.51186,0.69286,0.44427,-0.20853,0.91212,0.63127
1.19795,0.45742,0.15252,0.30246,0.35625,0.92314
1.07401,0.57001,0.03023,0.06318,0.70508,0.79342
0.47009,0.51927,0.4034,-0.22308,0.46118,0.89203
1.09095,-0.07419,0.2137,-0.03137,0.92314,0.57496
0.7202,0.57079,0.25223,-0.02076,0.39064,0.89063
0.3995,0.72075,0.48088,-0.27748,0.44427,0.98677
1.32095,0.44592,0.36051,-0.11949,0.89203,1.09349
0.47578,0.16827,0.26338,0.21852,0.4034,0.78241
1.0739,0.75155,0.33735,-0.27444,0.89063,0.80512
0.35905,0.57121,0.12573,0.01809,0.98677,0.48786
0.72081,0.26338,0.1751,0.16132,1.09349,0.9563
0.20844,0.55631,0.12642,0.36126,0.58764,0.56314
0.63652,0.30208,0.15438,0.16202,0.38404,0.79212
0.50044,0.56106,-0.03749,0.16147,0.91318,0.495
1.22998,0.16153,-0.04866,0.44603,0.66199,0.5278
0.50583,0.30635,0.45411,0.02254,0.9563,0.49039
1.08079,0.30359,-0.09332,0.0546,0.8981,0.7395
1.29216,0.56312,0.67961,0.24081,0.79212,0.57079
0.54654,0.48885,0.11518,0.2226,0.42724,0.84426
0.21587,0.17804,0.61719,0.02813,0.70009,0.94023
1.23949,0.21208,-0.05259,0.48423,0.69286,0.72075
0.54764,0.36118,-0.04833,0.4298,0.57001,0.44592
1.20796,0.18943,0.54625,0.20658,0.51927,0.27531
1.07812,0.91192,0.27268,0.03375,0.2137,0.75155
-0.01613,0.58569,0.6635,0.35625,0.7395,0.57121
-0.07254,0.5503,0.1869,-0.16247,0.08623,0.95092
-0.57936,0.74332,0.26804,-0.17275,0.84426,0.32899
0.08067,0.43021,0.09852,-0.17089,0.94023,0.31156
0.14003,0.38119,0.37703,0.03023,0.48088,0.40417
-0.58162,0.65729,0.18439,-0.20952,0.95092,0.85519
-0.26251,0.27268,0.37512,-0.10398,0.85519,0.55631
1.09779,0.68485,0.37162,0.38404,0.36051,0.91038
-0.58153,0.68319,0.41063,0.09703,0.94066,0.56106
-0.1846,0.26804,0.45483,0.09944,0.91038,1.084
-0.20938,0.46201,0.45402,0.48786,0.33735,0.30354
0.27369,0.41063,0.5088,0.56314,0.73434,0.40743
-0.19801,0.45483,0.60122,0.495,0.22904,0.70126
-0.26078,0.45402,0.54908,0.5278,0.56312,0.64883
-0.20737,0.54908,0.50688,0.42724,0.21575,0.26789
0.11452,0.04165,0.04165,0.21991,0.48885,0.93526
-0.58273,0.00637,0.03684,0.27211,0.16788,0.90864
-0.26265,0.03684,0.01398,0.45742,0.70126,0.96546
0.29378,0.01038,-0.00258,0.49039,0.23606,1.02516
-0.07497,0.02568,0.0103,-0.16206,0.64883,1.06895
0.16351,0.03058,0.00513,-0.2347,0.78118,0.91192
0.11788,0.24378,-0.14382,-0.14213,0.90864,1.03003
-0.01459,-0.14295,0.16965,-0.14316,0.96546,0.87742
0.32433,0.41413,0.28961,0.08623,1.03003,0.41527
0.16863,0.0346,0.16453,-0.23845,0.94877,0.40785
-0.21227,-0.14382,0.4709,-0.07419,0.26487,0.58569
-0.58363,0.03173,0.02865,0.25223,0.87742,0.80815
-0.21023,0.6147,-0.06207,-0.01649,0.83307,0.93419
0.79776,0.6663,-0.07034,0.16827,0.36729,0.67961
-0.58082,0.59577,0.02947,0.27531,0.80815,0.85934
0.1574,0.3834,-0.07556,0.32899,0.5503,0.41347
-0.07349,0.2739,-0.29784,0.31156,0.85934,1.02656
0.07836,0.23932,0.02687,0.40417,1.02656,0.85983
0.25921,0.60021,0.64733,0.30208,0.85983,1.17116
0.1567,0.59658,-0.06462,-0.16323,1.17116,0.63248
-0.20167,0.37822,0.47143,-0.186,0.25375,1.00625
0.08066,0.64131,0.66602,0.16153,1.00533,1.00533
0.11944,0.55647,0.45696,0.30635,0.74332,0.61719
0.25106,0.26435,0.44958,0.22904,1.03871,1.07691
-0.2068,0.29028,0.60518,0.30359,0.97358,1.10397
-0.58263,0.13131,0.37822,-0.19196,0.68485,0.59427
-0.58411,0.23198,-0.05942,0.21575,0.46201,0.65729
-0.26122,0.14473,0.03641,0.12573,0.37703,0.54625
0.90928,0.46658,0.35251,0.1751,0.37512,1.03871
-0.22582,-0.01613,0.53227,0.12642,0.37162,0.97358
-0.5799,-0.07254,0.72896,0.15438,1.23299,0.6635
0.25057,0.08067,0.07089,0.17804,1.10177,0.68319
0.15748,0.11452,0.16984,0.30354,0.60122,1.14757
-0.25555,-0.07497,0.70529,0.21208,1.30579,1.12466
-0.50268,0.11788,0.2769,0.36118,1.11011,1.23299
0.14206,-0.01459,0.27681,0.40743,0.80833,1.10177
-0.3906,0.32433,0.46658,-0.05404,0.58704,1.11011
-0.12194,0.79776,0.27589,-0.05202,0.46577,0.80833
-0.12357,-0.07349,0.21775,0.16788,-0.12287,0.22493
-0.39199,0.07836,0.65056,-0.03749,0.03058,0.22676
0.25945,0.08066,0.72977,-0.04866,0.24378,0.58704
-0.38863,0.11944,-0.01613,0.18943,0.01398,0.62579
-0.39229,0.25106,-0.07254,0.23606,-0.00258,0.5056
